Handsome;DoesntExist;CanBeAfraid;WellConsidered;MeaninglessConcept;Model;BecomesOneByDying;CanBeMean;ActsForMajority;CanDoBadThings;HasNoFamily;AccomplishesExtraordinary;HasBeenThroughOrdeals;IsTheMainCharacterOf;IsDefinedAsSuchDespite;ComesFromBelief;HasNoNormalLife;ArousesAdmiration;BeyondAvergageMenAbilities;SupernaturalAbilities;DoestExistInUtopianWorld;ActsAlone;Intemporal;CanBeIdentifiedTo;GivesBestOfThemselves;FightsAgainstEvil;Stubborn;PersonnalNotion;InsideUs;RisksLifeForOthers;QuestionsSocietyRules;HelpsOthers;Brave;ActsAccordingToTheirValues;WhenUHearWordHero;DoYouLikeMovieBookWhereCharacterIsHero;MostImportantInYourLife;AreUCreative;AreUindependant;AreUCurious;AreUSensitive;AreUGenerous;AreUTimid;GoOnPilgrimage;GoOnInstagram;ReadStimulatingBook;TakeDrugs;WatchMovie;DuringWorkTime;LookAtPostcard;TouchMaterial;SmellPerfume;ShareEmotionsWithRelatives;GoAbroad;ListenToForeignLanguage;ToRemember;EatUnusualMeal;GoToMuseum;GoToExhibition;EscapeDaily;ObserveSculptureArchitecture;MeetNewPeople;HaveFun;LearnAboutOneself;EverywhereButHome;ToRelax;ToExplore;DiscoverNewCulture;Dream;Essential;ListenToSong;EvaluationHero;EvaluationTravel
DontAgree;DontAgreeAtAll;Agree;DontAgree;DontAgreeAtAll;Neither;Neither;Neither;Neither;DontAgree;DontAgreeAtAll;Neither;Neither;Neither;Neither;DontAgreeAtAll;DontAgree;Agree;DontAgree;DontAgree;Neither;DontAgree;Neither;TotallyAgree;Neither;Neither;Agree;TotallyAgree;Agree;Agree;Agree;Agree;TotallyAgree;TotallyAgree;Someone Famous;Yes;Freedom;Neither;Agree;Agree;TotallyAgree;Agree;Agree;DontAgree;Neither;DontAgree;DontAgreeAtAll;Neither;Neither;DontAgreeAtAll;DontAgree;DontAgreeAtAll;TotallyAgree;Agree;Neither;Neither;Neither;DontAgree;DontAgreeAtAll;Neither;DontAgree;Agree;Agree;TotallyAgree;Agree;Agree;TotallyAgree;Agree;Neither;TotallyAgree;DontAgree;9;9
Neither;DontAgreeAtAll;Neither;DontAgree;DontAgreeAtAll;Neither;DontAgreeAtAll;Neither;Agree;Agree;DontAgreeAtAll;Agree;DontAgree;Neither;DontAgree;Neither;Neither;TotallyAgree;TotallyAgree;Agree;Neither;DontAgree;Agree;Neither;DontAgree;Neither;Neither;Neither;DontAgree;DontAgree;TotallyAgree;Agree;TotallyAgree;Agree;Someone Fictive;Yes;Knwoledge;Agree;Neither;TotallyAgree;Agree;DontAgree;Agree;Neither;DontAgreeAtAll;Agree;DontAgreeAtAll;Neither;DontAgree;DontAgreeAtAll;DontAgree;DontAgree;Agree;DontAgree;DontAgreeAtAll;Agree;Neither;Neither;DontAgree;Neither;Neither;TotallyAgree;TotallyAgree;Neither;TotallyAgree;DontAgree;TotallyAgree;Agree;Agree;Agree;Neither;10;8
Neither;DontAgreeAtAll;DontAgree;Neither;DontAgreeAtAll;DontAgree;DontAgree;DontAgree;Agree;DontAgree;DontAgreeAtAll;Neither;Neither;Neither;Neither;Neither;DontAgreeAtAll;Neither;Neither;DontAgree;DontAgree;Neither;Agree;Agree;TotallyAgree;Agree;Neither;Agree;TotallyAgree;Neither;Agree;TotallyAgree;Agree;TotallyAgree;Someone Famous;Yes;Freedom;Neither;Agree;TotallyAgree;Agree;Agree;Neither;DontAgree;Neither;DontAgree;DontAgreeAtAll;Neither;DontAgreeAtAll;Agree;Neither;Agree;Neither;TotallyAgree;Agree;DontAgreeAtAll;Agree;DontAgree;Neither;DontAgree;Neither;Agree;DontAgreeAtAll;DontAgree;Agree;Neither;TotallyAgree;TotallyAgree;DontAgree;TotallyAgree;Neither;8;8
DontAgree;DontAgreeAtAll;Agree;DontAgree;DontAgreeAtAll;Neither;Neither;Neither;Agree;Neither;DontAgreeAtAll;DontAgree;DontAgree;Neither;Neither;Neither;DontAgree;Neither;DontAgree;DontAgreeAtAll;Agree;DontAgree;Neither;Neither;Agree;TotallyAgree;Neither;TotallyAgree;Agree;Neither;TotallyAgree;Agree;Agree;TotallyAgree;Someone Fictive;Yes;Justice;TotallyAgree;Agree;Agree;TotallyAgree;Neither;TotallyAgree;Neither;DontAgreeAtAll;DontAgree;DontAgreeAtAll;DontAgree;Neither;DontAgree;DontAgreeAtAll;DontAgreeAtAll;TotallyAgree;Neither;TotallyAgree;Agree;Agree;Neither;DontAgree;DontAgree;Agree;Agree;Neither;Neither;Agree;Neither;TotallyAgree;TotallyAgree;Neither;Agree;DontAgree;10;8
Neither;DontAgree;Neither;Neither;DontAgreeAtAll;TotallyAgree;Neither;DontAgree;TotallyAgree;DontAgree;DontAgreeAtAll;Agree;Neither;Neither;DontAgree;DontAgree;DontAgreeAtAll;Agree;Neither;Neither;DontAgreeAtAll;Neither;DontAgree;DontAgree;Agree;TotallyAgree;Neither;Neither;Neither;Agree;TotallyAgree;Agree;Agree;Agree;Someone Fictive;Yes;Freedom;Agree;Agree;TotallyAgree;Agree;Agree;DontAgree;Neither;Neither;Agree;DontAgreeAtAll;Agree;DontAgreeAtAll;Neither;DontAgreeAtAll;DontAgree;DontAgree;TotallyAgree;Agree;DontAgree;Agree;DontAgree;DontAgree;DontAgree;Neither;Neither;Neither;Neither;Agree;DontAgreeAtAll;TotallyAgree;TotallyAgree;TotallyAgree;Neither;Agree;9;5
Neither;DontAgreeAtAll;Agree;DontAgree;DontAgree;TotallyAgree;Neither;Neither;Agree;Neither;DontAgreeAtAll;Neither;Neither;TotallyAgree;DontAgree;DontAgree;DontAgree;Neither;Neither;DontAgree;DontAgreeAtAll;DontAgree;Neither;DontAgreeAtAll;Neither;Agree;Neither;Agree;TotallyAgree;Agree;Agree;Neither;Agree;TotallyAgree;Someone Fictive;Yes;Justice;DontAgree;TotallyAgree;Agree;Agree;Neither;Neither;DontAgreeAtAll;Neither;Neither;DontAgreeAtAll;DontAgree;Agree;Agree;DontAgreeAtAll;Neither;TotallyAgree;Neither;Neither;Agree;Neither;DontAgree;DontAgree;TotallyAgree;DontAgree;DontAgree;Agree;DontAgree;TotallyAgree;TotallyAgree;Neither;Agree;Neither;DontAgreeAtAll;Agree;9;10
DontAgree;DontAgree;Agree;Neither;Neither;TotallyAgree;DontAgreeAtAll;Neither;Neither;Agree;DontAgree;DontAgreeAtAll;Agree;DontAgree;Neither;DontAgreeAtAll;DontAgree;Agree;DontAgree;DontAgreeAtAll;Neither;DontAgree;Neither;TotallyAgree;Neither;Neither;Neither;TotallyAgree;TotallyAgree;Agree;Neither;Agree;Agree;Neither;Someone Famous;Yes;Freedom;Agree;TotallyAgree;TotallyAgree;Agree;Neither;DontAgree;Neither;DontAgreeAtAll;DontAgree;DontAgree;DontAgree;Agree;DontAgree;DontAgree;DontAgreeAtAll;DontAgreeAtAll;TotallyAgree;Neither;Neither;Agree;Neither;Neither;Agree;DontAgreeAtAll;TotallyAgree;Agree;DontAgree;Neither;Neither;TotallyAgree;TotallyAgree;Neither;Agree;Agree;10;10
DontAgree;DontAgree;Agree;Neither;DontAgreeAtAll;Agree;DontAgreeAtAll;Agree;Neither;Agree;DontAgreeAtAll;Neither;Agree;Neither;TotallyAgree;DontAgreeAtAll;Neither;Agree;DontAgree;DontAgree;DontAgree;Neither;Neither;Neither;TotallyAgree;DontAgree;Neither;Neither;TotallyAgree;Neither;DontAgree;Agree;Neither;TotallyAgree;Someone Fictive;No;Freedom;DontAgree;TotallyAgree;Neither;Agree;Neither;Agree;DontAgreeAtAll;DontAgreeAtAll;Agree;DontAgreeAtAll;Neither;DontAgreeAtAll;Agree;Neither;Agree;DontAgree;Agree;Neither;TotallyAgree;Neither;DontAgree;DontAgree;TotallyAgree;DontAgree;DontAgree;Neither;Neither;DontAgree;Neither;TotallyAgree;Agree;Neither;TotallyAgree;Agree;8;9
DontAgree;DontAgreeAtAll;Agree;Neither;DontAgree;TotallyAgree;DontAgreeAtAll;Agree;Agree;Neither;DontAgreeAtAll;Neither;Neither;Neither;Neither;DontAgree;DontAgree;TotallyAgree;Neither;DontAgreeAtAll;DontAgree;DontAgree;Neither;Agree;Neither;Agree;Neither;Neither;Agree;Neither;DontAgree;TotallyAgree;TotallyAgree;Agree;Nobody in particular;No;Knwoledge;DontAgree;Agree;Agree;TotallyAgree;Agree;Neither;DontAgree;DontAgree;DontAgreeAtAll;DontAgreeAtAll;DontAgree;DontAgreeAtAll;DontAgree;Neither;DontAgreeAtAll;Agree;Agree;Neither;Agree;TotallyAgree;Agree;Agree;Neither;Neither;Neither;Neither;Neither;TotallyAgree;Neither;TotallyAgree;TotallyAgree;DontAgree;Agree;DontAgree;10;8
Neither;DontAgree;Neither;Neither;DontAgree;Neither;DontAgree;DontAgreeAtAll;TotallyAgree;DontAgreeAtAll;DontAgreeAtAll;Neither;Neither;Agree;DontAgree;Neither;DontAgree;Agree;Neither;Neither;DontAgree;DontAgreeAtAll;Neither;Agree;TotallyAgree;Agree;Neither;Agree;Neither;TotallyAgree;DontAgree;Agree;TotallyAgree;Agree;Someone Fictive;Yes;Freedom;Agree;Agree;Agree;TotallyAgree;Agree;DontAgree;DontAgree;DontAgree;Agree;DontAgreeAtAll;DontAgreeAtAll;Neither;Neither;DontAgreeAtAll;Neither;Neither;TotallyAgree;Agree;Neither;Agree;DontAgree;DontAgree;TotallyAgree;DontAgreeAtAll;Agree;DontAgree;Agree;DontAgree;Neither;Agree;TotallyAgree;TotallyAgree;Neither;Neither;8;7
Neither;DontAgreeAtAll;Agree;DontAgreeAtAll;DontAgreeAtAll;TotallyAgree;Neither;Neither;TotallyAgree;Agree;DontAgree;Neither;Neither;Neither;DontAgree;Neither;DontAgreeAtAll;Agree;Neither;Neither;DontAgree;DontAgree;DontAgree;Agree;Agree;Neither;DontAgree;TotallyAgree;TotallyAgree;Neither;DontAgree;Agree;Agree;Neither;Someone Famous;No;Freedom;TotallyAgree;Agree;Agree;TotallyAgree;TotallyAgree;TotallyAgree;DontAgree;Neither;DontAgree;DontAgreeAtAll;DontAgree;Neither;Neither;DontAgree;DontAgree;TotallyAgree;Agree;Neither;Agree;Neither;DontAgreeAtAll;DontAgreeAtAll;TotallyAgree;DontAgreeAtAll;TotallyAgree;Agree;Agree;Neither;Neither;Agree;TotallyAgree;Neither;Agree;DontAgree;8;9
DontAgreeAtAll;DontAgreeAtAll;Agree;DontAgree;DontAgree;Agree;Neither;Neither;TotallyAgree;Agree;DontAgreeAtAll;Neither;Agree;DontAgree;DontAgree;Neither;DontAgree;Neither;DontAgree;DontAgreeAtAll;Neither;DontAgree;Neither;Neither;Neither;Agree;TotallyAgree;Neither;Neither;Neither;Agree;Agree;TotallyAgree;TotallyAgree;Nobody in particular;Yes;Justice;DontAgree;TotallyAgree;Agree;DontAgree;Agree;DontAgreeAtAll;DontAgree;DontAgree;DontAgree;DontAgreeAtAll;DontAgreeAtAll;DontAgree;Neither;Neither;DontAgreeAtAll;Neither;TotallyAgree;Agree;Neither;Agree;DontAgree;DontAgree;DontAgreeAtAll;Agree;TotallyAgree;Agree;Neither;Neither;Agree;TotallyAgree;TotallyAgree;Neither;Agree;Neither;9;8
DontAgreeAtAll;Neither;Neither;Neither;DontAgreeAtAll;TotallyAgree;DontAgree;Neither;Agree;Neither;DontAgree;DontAgreeAtAll;Neither;Neither;DontAgree;Neither;Neither;Agree;DontAgreeAtAll;DontAgree;DontAgree;DontAgree;Agree;TotallyAgree;Agree;Neither;DontAgree;TotallyAgree;TotallyAgree;Neither;Neither;Agree;Agree;Agree;Someone Fictive;Yes;Freedom;DontAgree;TotallyAgree;TotallyAgree;Agree;Agree;DontAgree;Neither;DontAgreeAtAll;DontAgree;DontAgreeAtAll;DontAgreeAtAll;DontAgreeAtAll;DontAgree;Neither;Neither;Neither;Agree;Agree;Neither;Agree;DontAgree;DontAgree;TotallyAgree;DontAgree;Agree;Neither;TotallyAgree;Agree;TotallyAgree;TotallyAgree;Agree;Neither;Neither;DontAgree;9;8
DontAgree;DontAgree;Agree;Neither;DontAgree;Neither;Neither;Neither;TotallyAgree;Agree;DontAgreeAtAll;Neither;TotallyAgree;DontAgree;Neither;DontAgreeAtAll;Neither;Neither;DontAgreeAtAll;DontAgreeAtAll;DontAgree;DontAgree;DontAgree;Neither;Agree;Neither;Agree;Neither;TotallyAgree;Agree;Neither;Agree;TotallyAgree;Agree;Someone Famous;Yes;Freedom;Agree;TotallyAgree;TotallyAgree;Neither;Neither;Agree;DontAgreeAtAll;DontAgreeAtAll;DontAgree;Agree;DontAgreeAtAll;Neither;DontAgree;DontAgreeAtAll;DontAgree;DontAgree;Agree;Agree;Neither;Agree;DontAgree;Neither;TotallyAgree;Neither;TotallyAgree;Neither;DontAgree;Neither;Neither;TotallyAgree;TotallyAgree;Agree;Neither;Agree;9;8
Neither;DontAgree;Neither;Agree;DontAgreeAtAll;Agree;DontAgree;Neither;Agree;DontAgree;DontAgreeAtAll;DontAgree;DontAgreeAtAll;DontAgree;Neither;Neither;DontAgreeAtAll;Agree;Neither;DontAgree;Neither;Neither;TotallyAgree;Agree;Agree;Neither;Neither;TotallyAgree;TotallyAgree;Neither;DontAgree;TotallyAgree;Agree;Neither;Nobody in particular;No;Love;Agree;Agree;Agree;TotallyAgree;TotallyAgree;Neither;Neither;DontAgreeAtAll;Neither;DontAgreeAtAll;DontAgree;Agree;DontAgree;DontAgreeAtAll;Neither;DontAgree;Agree;DontAgreeAtAll;Neither;Neither;Neither;DontAgree;Agree;DontAgree;TotallyAgree;Neither;Agree;Agree;Agree;TotallyAgree;TotallyAgree;Neither;TotallyAgree;DontAgree;9;9
Agree;DontAgreeAtAll;Agree;DontAgree;DontAgreeAtAll;Agree;Neither;Agree;Neither;Neither;DontAgree;DontAgree;Neither;Neither;Neither;Neither;DontAgree;Neither;DontAgree;DontAgreeAtAll;DontAgreeAtAll;DontAgree;Agree;TotallyAgree;Agree;TotallyAgree;Agree;Neither;Neither;TotallyAgree;DontAgree;Neither;TotallyAgree;Neither;Someone Fictive;Yes;Freedom;Neither;Neither;Agree;TotallyAgree;Neither;Agree;DontAgreeAtAll;DontAgreeAtAll;Neither;DontAgreeAtAll;DontAgree;Neither;DontAgree;DontAgreeAtAll;DontAgree;Agree;Neither;DontAgree;Agree;Agree;Neither;Agree;TotallyAgree;Neither;Neither;TotallyAgree;DontAgree;TotallyAgree;Neither;Neither;Agree;Agree;TotallyAgree;DontAgree;10;7
DontAgree;DontAgree;Agree;Neither;Neither;DontAgreeAtAll;DontAgree;Agree;Agree;Agree;DontAgree;Neither;Neither;DontAgree;Neither;DontAgree;DontAgree;TotallyAgree;Neither;DontAgreeAtAll;Neither;Neither;DontAgreeAtAll;Neither;Neither;Neither;Agree;Agree;TotallyAgree;DontAgreeAtAll;Neither;TotallyAgree;Agree;TotallyAgree;Nobody in particular;No;Knwoledge;DontAgreeAtAll;TotallyAgree;TotallyAgree;Neither;Agree;DontAgree;DontAgreeAtAll;DontAgreeAtAll;Agree;Neither;Neither;DontAgree;DontAgree;DontAgreeAtAll;DontAgree;Agree;Neither;DontAgree;Neither;Agree;Neither;Neither;TotallyAgree;Neither;TotallyAgree;TotallyAgree;Neither;DontAgree;TotallyAgree;Agree;Agree;DontAgree;DontAgreeAtAll;Agree;9;9
Neither;DontAgree;Agree;Agree;Neither;Agree;DontAgreeAtAll;Neither;Agree;Neither;DontAgree;Agree;Agree;DontAgree;Neither;DontAgreeAtAll;Neither;Neither;DontAgreeAtAll;DontAgreeAtAll;Neither;Neither;DontAgree;TotallyAgree;Agree;DontAgree;Neither;TotallyAgree;Neither;Neither;DontAgree;TotallyAgree;TotallyAgree;DontAgree;Someone I Know;Yes;Freedom;DontAgreeAtAll;Neither;Agree;Neither;Agree;DontAgree;Agree;DontAgree;Neither;DontAgreeAtAll;Neither;Agree;DontAgreeAtAll;DontAgreeAtAll;DontAgreeAtAll;Neither;DontAgree;DontAgree;TotallyAgree;Neither;DontAgree;Agree;TotallyAgree;Neither;Neither;Neither;DontAgree;TotallyAgree;Agree;TotallyAgree;Neither;Agree;Agree;DontAgree;6;8
Neither;DontAgree;Neither;Neither;DontAgree;Agree;Neither;DontAgree;Agree;DontAgreeAtAll;DontAgree;DontAgree;Neither;Neither;Agree;DontAgreeAtAll;DontAgreeAtAll;Agree;DontAgreeAtAll;DontAgree;Neither;DontAgree;Neither;TotallyAgree;Neither;Neither;Neither;Agree;Agree;TotallyAgree;Neither;Agree;TotallyAgree;TotallyAgree;Someone Fictive;Yes;Freedom;DontAgreeAtAll;Agree;Agree;DontAgree;Neither;DontAgree;Neither;DontAgree;DontAgree;DontAgreeAtAll;DontAgreeAtAll;Neither;DontAgreeAtAll;DontAgree;DontAgreeAtAll;Neither;TotallyAgree;Agree;Agree;DontAgree;DontAgree;Neither;Agree;Neither;Neither;Neither;Neither;DontAgree;Agree;TotallyAgree;Agree;TotallyAgree;TotallyAgree;Agree;9;8
DontAgree;Neither;Neither;DontAgreeAtAll;DontAgreeAtAll;Agree;Neither;Neither;Agree;Neither;DontAgreeAtAll;Neither;Agree;Neither;DontAgree;DontAgreeAtAll;DontAgree;Agree;DontAgree;DontAgree;DontAgree;DontAgree;Neither;Neither;Agree;Neither;Neither;TotallyAgree;TotallyAgree;Neither;Agree;TotallyAgree;Agree;TotallyAgree;Someone I Know;No;Love;Agree;Neither;TotallyAgree;Agree;TotallyAgree;DontAgree;DontAgreeAtAll;DontAgree;Neither;DontAgreeAtAll;DontAgree;DontAgree;DontAgree;DontAgreeAtAll;DontAgree;Neither;Agree;TotallyAgree;Neither;Agree;Neither;Neither;Agree;DontAgreeAtAll;Agree;Neither;TotallyAgree;DontAgree;Neither;TotallyAgree;TotallyAgree;Neither;Agree;Agree;9;8
DontAgree;Neither;Agree;Neither;DontAgreeAtAll;Agree;DontAgreeAtAll;DontAgree;Agree;Neither;DontAgreeAtAll;Agree;Neither;Agree;Neither;DontAgree;DontAgree;Neither;DontAgree;Neither;DontAgree;DontAgreeAtAll;Neither;TotallyAgree;Neither;Neither;DontAgree;Agree;Neither;TotallyAgree;Neither;TotallyAgree;Agree;TotallyAgree;Someone Fictive;Yes;Love;Agree;Neither;TotallyAgree;Agree;Agree;Neither;DontAgree;DontAgreeAtAll;Agree;DontAgreeAtAll;DontAgree;Neither;DontAgree;DontAgreeAtAll;Neither;Agree;Agree;Neither;Neither;Neither;DontAgree;DontAgree;TotallyAgree;DontAgree;Agree;TotallyAgree;Neither;DontAgreeAtAll;Neither;TotallyAgree;Agree;Agree;TotallyAgree;Neither;10;9
DontAgree;DontAgree;Agree;DontAgree;DontAgree;DontAgree;Neither;Agree;Agree;Agree;DontAgree;Neither;Neither;Neither;Agree;Neither;DontAgreeAtAll;Neither;DontAgreeAtAll;Neither;DontAgreeAtAll;Neither;DontAgreeAtAll;Agree;TotallyAgree;Neither;Neither;Agree;TotallyAgree;TotallyAgree;DontAgree;TotallyAgree;Neither;Neither;Nobody in particular;No;Freedom;Neither;DontAgree;TotallyAgree;TotallyAgree;TotallyAgree;Agree;DontAgree;DontAgree;DontAgreeAtAll;Neither;DontAgreeAtAll;Neither;DontAgreeAtAll;DontAgree;Agree;Agree;TotallyAgree;Neither;TotallyAgree;Neither;DontAgreeAtAll;DontAgree;Neither;Neither;DontAgree;Neither;Agree;Neither;Agree;Agree;Agree;TotallyAgree;DontAgree;TotallyAgree;9;9
DontAgree;DontAgreeAtAll;Agree;DontAgree;DontAgreeAtAll;DontAgree;DontAgree;Neither;Agree;Agree;DontAgreeAtAll;Neither;Neither;Neither;DontAgree;Neither;DontAgree;Neither;Neither;Neither;DontAgreeAtAll;DontAgree;TotallyAgree;Neither;Neither;Agree;TotallyAgree;TotallyAgree;TotallyAgree;Neither;Neither;Agree;Agree;Agree;Someone Famous;Yes;Freedom;Agree;TotallyAgree;TotallyAgree;TotallyAgree;Agree;Agree;Agree;DontAgreeAtAll;DontAgree;Neither;Agree;DontAgreeAtAll;DontAgree;DontAgreeAtAll;DontAgree;TotallyAgree;Neither;DontAgree;TotallyAgree;Neither;DontAgree;DontAgree;Neither;DontAgreeAtAll;Neither;Agree;TotallyAgree;Neither;Neither;Agree;Agree;Agree;Neither;TotallyAgree;10;9
Neither;DontAgree;Neither;DontAgree;DontAgreeAtAll;Neither;DontAgreeAtAll;DontAgreeAtAll;TotallyAgree;Neither;Neither;Agree;Neither;Agree;DontAgreeAtAll;DontAgree;DontAgree;Neither;Agree;Agree;Neither;Neither;DontAgree;DontAgree;Agree;Neither;Neither;Neither;DontAgree;TotallyAgree;TotallyAgree;Agree;Agree;TotallyAgree;Nobody in particular;No;Love;Agree;Neither;TotallyAgree;TotallyAgree;TotallyAgree;Agree;Neither;Neither;Neither;DontAgreeAtAll;DontAgree;DontAgreeAtAll;Neither;DontAgreeAtAll;Neither;DontAgree;TotallyAgree;Agree;Neither;TotallyAgree;DontAgree;Neither;TotallyAgree;DontAgree;Agree;Agree;DontAgreeAtAll;DontAgree;DontAgree;Agree;TotallyAgree;Agree;Agree;Neither;9;10
DontAgree;DontAgreeAtAll;Neither;DontAgree;Neither;TotallyAgree;DontAgree;DontAgreeAtAll;TotallyAgree;Neither;DontAgree;Agree;Neither;DontAgree;Neither;DontAgree;DontAgreeAtAll;Agree;DontAgree;Neither;Neither;Neither;DontAgreeAtAll;TotallyAgree;Agree;Neither;Neither;Agree;Agree;Neither;Agree;Agree;Neither;TotallyAgree;Someone Famous;Yes;Love;Neither;DontAgree;Agree;TotallyAgree;Agree;Neither;DontAgreeAtAll;DontAgree;Neither;DontAgree;DontAgree;DontAgreeAtAll;DontAgree;DontAgreeAtAll;DontAgree;Neither;Agree;TotallyAgree;Neither;Agree;Agree;Neither;Agree;Neither;TotallyAgree;Agree;Neither;DontAgreeAtAll;Neither;TotallyAgree;TotallyAgree;Neither;Agree;DontAgree;8;8
Neither;DontAgreeAtAll;DontAgreeAtAll;DontAgreeAtAll;Neither;Agree;Neither;Neither;TotallyAgree;DontAgreeAtAll;DontAgree;Neither;Agree;DontAgree;DontAgree;Neither;DontAgree;Agree;DontAgree;DontAgree;Neither;DontAgree;Neither;TotallyAgree;Neither;Neither;Neither;TotallyAgree;TotallyAgree;Neither;Agree;Agree;Agree;Agree;Someone Fictive;Yes;Freedom;Agree;Agree;TotallyAgree;Neither;Agree;TotallyAgree;DontAgreeAtAll;DontAgreeAtAll;DontAgreeAtAll;DontAgreeAtAll;DontAgree;DontAgree;DontAgree;DontAgree;DontAgree;DontAgree;Neither;Neither;Neither;Neither;Neither;Neither;Neither;Neither;Agree;Agree;Agree;Agree;Agree;Agree;TotallyAgree;TotallyAgree;TotallyAgree;TotallyAgree;8;9
DontAgree;DontAgreeAtAll;Agree;DontAgree;DontAgreeAtAll;TotallyAgree;Agree;Neither;Agree;Agree;DontAgreeAtAll;Neither;Neither;Neither;TotallyAgree;Neither;Neither;Neither;DontAgree;DontAgree;DontAgree;DontAgreeAtAll;Neither;DontAgree;Neither;Neither;Neither;TotallyAgree;Agree;TotallyAgree;DontAgree;Agree;Neither;Agree;Nobody in particular;No;Freedom;Agree;Agree;TotallyAgree;Agree;Agree;Agree;Agree;DontAgreeAtAll;Agree;DontAgreeAtAll;DontAgreeAtAll;Neither;DontAgree;DontAgree;DontAgreeAtAll;DontAgree;TotallyAgree;Neither;TotallyAgree;Neither;Agree;Neither;Agree;Neither;DontAgree;Neither;Neither;Neither;DontAgree;TotallyAgree;TotallyAgree;Agree;Agree;DontAgree;8;8
Neither;DontAgreeAtAll;DontAgree;Neither;DontAgree;TotallyAgree;DontAgree;Neither;TotallyAgree;Neither;DontAgreeAtAll;Neither;Neither;Neither;DontAgree;Neither;DontAgreeAtAll;Agree;DontAgreeAtAll;DontAgree;DontAgree;Neither;Agree;Agree;Neither;Neither;DontAgree;Agree;Agree;TotallyAgree;Neither;TotallyAgree;Agree;Agree;Nobody in particular;Yes;Freedom;Neither;TotallyAgree;Agree;Agree;Agree;Neither;DontAgree;DontAgreeAtAll;Neither;DontAgreeAtAll;DontAgreeAtAll;DontAgreeAtAll;Neither;DontAgree;DontAgree;TotallyAgree;Agree;Agree;Agree;Neither;Neither;DontAgree;Neither;DontAgree;Agree;Neither;Agree;Neither;Agree;TotallyAgree;TotallyAgree;DontAgree;TotallyAgree;Neither;8;7
DontAgree;Neither;TotallyAgree;Neither;DontAgree;Neither;DontAgreeAtAll;Neither;Agree;TotallyAgree;DontAgreeAtAll;Neither;Agree;Neither;Agree;Neither;DontAgreeAtAll;Agree;DontAgree;DontAgree;DontAgree;DontAgreeAtAll;Neither;Neither;Neither;Neither;Agree;TotallyAgree;TotallyAgree;Neither;DontAgree;Agree;DontAgree;Agree;Someone Fictive;Yes;Love;Neither;Agree;Agree;TotallyAgree;TotallyAgree;DontAgree;Agree;Neither;Neither;DontAgreeAtAll;Neither;DontAgreeAtAll;Neither;DontAgree;Agree;DontAgree;Agree;Agree;DontAgreeAtAll;Neither;DontAgree;DontAgree;Neither;DontAgree;TotallyAgree;Neither;TotallyAgree;DontAgreeAtAll;DontAgree;TotallyAgree;TotallyAgree;Agree;Agree;Neither;10;10
Neither;DontAgree;Neither;DontAgree;DontAgree;Agree;DontAgree;Neither;Agree;Neither;DontAgreeAtAll;Neither;Neither;Neither;TotallyAgree;DontAgreeAtAll;DontAgreeAtAll;Agree;DontAgree;DontAgreeAtAll;DontAgree;Neither;Neither;Agree;Agree;DontAgree;Neither;TotallyAgree;TotallyAgree;Neither;Neither;Agree;Agree;TotallyAgree;Someone Famous;Yes;Love;Neither;Agree;Agree;TotallyAgree;TotallyAgree;Agree;Neither;DontAgreeAtAll;Neither;DontAgreeAtAll;DontAgree;DontAgree;Neither;Neither;Agree;Agree;TotallyAgree;Neither;Agree;Neither;DontAgreeAtAll;Neither;TotallyAgree;DontAgree;DontAgreeAtAll;Agree;DontAgree;DontAgree;Agree;TotallyAgree;Neither;Agree;TotallyAgree;DontAgree;9;10
Agree;Neither;Neither;DontAgreeAtAll;DontAgreeAtAll;TotallyAgree;DontAgreeAtAll;Neither;DontAgree;DontAgree;DontAgree;Agree;Neither;Neither;DontAgreeAtAll;Neither;DontAgree;TotallyAgree;Neither;Neither;DontAgree;DontAgree;Agree;DontAgree;Agree;Neither;Agree;Neither;Neither;Neither;Agree;TotallyAgree;Agree;TotallyAgree;Someone Fictive;No;Freedom;Agree;Agree;TotallyAgree;DontAgree;Agree;DontAgreeAtAll;Agree;DontAgree;TotallyAgree;DontAgreeAtAll;TotallyAgree;DontAgreeAtAll;Agree;DontAgree;DontAgreeAtAll;DontAgree;Neither;Neither;Neither;Agree;Agree;Neither;DontAgree;DontAgreeAtAll;Neither;DontAgree;DontAgree;Neither;Neither;Agree;TotallyAgree;Agree;Neither;TotallyAgree;9;9
DontAgreeAtAll;DontAgreeAtAll;Neither;DontAgree;DontAgreeAtAll;Neither;DontAgree;Neither;TotallyAgree;DontAgree;DontAgree;Neither;DontAgree;Agree;Agree;Neither;DontAgreeAtAll;Agree;TotallyAgree;Agree;DontAgree;Neither;Neither;Neither;Neither;Agree;DontAgree;Neither;Neither;TotallyAgree;Neither;Agree;TotallyAgree;Agree;Someone Fictive;No;Love;Agree;Agree;Agree;TotallyAgree;TotallyAgree;Agree;Agree;DontAgreeAtAll;DontAgree;DontAgree;DontAgreeAtAll;DontAgreeAtAll;DontAgree;Neither;DontAgreeAtAll;Neither;Agree;Agree;Agree;Neither;Agree;Neither;TotallyAgree;Agree;DontAgree;Neither;DontAgree;Neither;Neither;TotallyAgree;TotallyAgree;DontAgree;TotallyAgree;Neither;10;10